time,node,f0,f1,f2,f3,y
1,0,5.0,-0.10555339604616165,2.0,0.09615384787321091,5.0
1,1,0.0,-0.13394306600093842,2.0,0.0,0.0
1,2,0.0,-0.09301209449768066,2.0,0.0,0.0
1,3,4.0,-0.12922453880310059,2.0,0.3636363744735718,4.0
1,4,1.0,-0.07651501893997192,2.0,0.1666666716337204,1.0
1,5,1.0,-0.163356751203537,2.0,0.3333333432674408,1.0
1,6,2.0,-0.13688626885414124,2.0,0.2857142984867096,2.0
1,7,18.0,-0.16400371491909027,2.0,0.4390243887901306,18.0
1,8,3.0,-0.13999822735786438,2.0,0.1875,3.0
1,9,1.0,-0.15221551060676575,2.0,0.05000000074505806,1.0
1,10,4.0,-0.11597971618175507,2.0,0.04597701132297516,4.0
1,11,14.0,-0.08033787459135056,2.0,0.08433734625577927,14.0
1,12,67.0,-0.06553921103477478,2.0,0.12384473532438278,67.0
1,13,19.0,-0.09694376587867737,2.0,0.1472868174314499,19.0
1,14,1.0,-0.09960010647773743,2.0,0.043478261679410934,1.0
1,15,3.0,-0.06936665624380112,2.0,0.5,3.0
1,16,2.0,-0.15133993327617645,2.0,0.1818181872367859,2.0
1,17,1.0,-0.11876696348190308,2.0,0.04545454680919647,1.0
1,18,3.0,-0.12601695954799652,2.0,0.375,3.0
1,19,1.0,-0.08465934544801712,2.0,0.1428571492433548,1.0
1,20,5.0,-0.08158262819051743,2.0,0.1666666716337204,5.0
1,21,2.0,-0.10348895192146301,2.0,0.20000000298023224,2.0
1,22,5.0,-0.11647789180278778,2.0,0.04237288236618042,5.0
1,23,0.0,-0.13202819228172302,2.0,0.0,0.0
1,24,0.0,-0.11456871777772903,2.0,0.0,0.0
1,25,7.0,-0.06024470180273056,2.0,0.11290322244167328,7.0
1,26,34.0,-0.21613112092018127,2.0,0.1642512083053589,34.0
1,27,14.0,-0.11266136914491653,2.0,0.10447761416435242,14.0
1,28,4.0,-0.09462618082761765,2.0,0.5,4.0
1,29,1.0,-0.10715644806623459,2.0,0.1666666716337204,1.0
1,30,0.0,-0.1242247000336647,2.0,0.0,0.0
1,31,0.0,-0.08029312640428543,2.0,0.0,0.0
1,32,1.0,-0.18194831907749176,2.0,0.1666666716337204,1.0
1,33,0.0,-0.11282660812139511,2.0,0.0,0.0
1,34,0.0,-0.11811984330415726,2.0,0.0,0.0
1,35,0.0,-0.07757105678319931,2.0,0.0,0.0
1,36,0.0,-0.08683108538389206,2.0,0.0,0.0
1,37,0.0,-0.11526916176080704,2.0,0.0,0.0
1,38,3.0,-0.12922951579093933,2.0,0.3333333432674408,3.0
